City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Maragogi,BR,81.72,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
159,Mantua,IT,76.15,scattered clouds,45.1667,10.7833,Hotel la Favorita
162,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
163,Micheweni,TZ,80.47,overcast clouds,-4.9667,39.8333,
171,Pandan,PH,82.33,broken clouds,14.0453,124.1694,Bonifacio Lodge
174,Wakiso,UG,78.35,light rain,0.4044,32.4594,Prudential Hotel Kavumba
178,Kirakira,SB,77.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
180,Merauke,ID,76.19,scattered clouds,-8.4667,140.3333,
189,Matamoros,MX,77.11,broken clouds,25.5333,-103.25,Quinta Belem
190,Muncar,ID,75.63,broken clouds,-8.4333,114.3333,Zaky Homestay
191,Montecristo,CO,84.74,broken clouds,8.2971,-74.4733,Hotel Maripaz
195,Bouafle,CI,87.82,overcast clouds,6.9904,-5.7442,Hotel Zaouli
199,Bardiyah,LY,76.51,clear sky,31.7561,25.0865,بورتو بردية
204,Sao Felix Do Xingu,BR,88.2,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
210,Capoterra,IT,78.51,few clouds,39.1763,8.9718,Ariedo Bed And Breakfast
214,Bengkulu,ID,78.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
221,Namibe,AO,79.66,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
227,Lantana,US,87.1,scattered clouds,26.5867,-80.05199999999999,Eau Palm Beach Resort & Spa
231,High Rock,BS,80.62,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
235,Tefe,BR,86.11,few clouds,-3.3542,-64.7114,Aracati Hotel
236,Ushirombo,TZ,77.83,overcast clouds,-3.4919,31.9639,Kigali Hotel
238,Qandala,SO,89.58,scattered clouds,11.472000000000001,49.8728,
243,Lata,PT,86.72,scattered clouds,40.1629,-8.3327,Casa Maquia
245,Kandrian,PG,77.65,moderate rain,-6.2167,149.55,Kandrian Station
247,Kanniyakumari,IN,81.82,overcast clouds,8.0833,77.5667,Sparsa
250,Mudon,MM,80.83,moderate rain,16.2578,97.7164,Motel Mudon
254,Soyo,AO,84.25,clear sky,-6.1349,12.3689,Hotel Mpampa
257,Simpang,ID,76.08,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
259,Faanui,PF,78.31,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
261,Houston,US,82.0,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
263,Boyolangu,ID,75.58,overcast clouds,-8.1181,111.8935,Yos ega cv
268,Mangrol,IN,84.02,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
269,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
271,Kaberamaido,UG,85.8,broken clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
275,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
276,Kapit,MY,75.2,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
277,Mpanda,TZ,81.52,broken clouds,-6.3655,31.0409,CH Hotel - Mpanda
282,Maxixe,MZ,75.02,broken clouds,-23.8597,35.3472,Oceano
284,Rosetta,EG,76.21,clear sky,31.4044,30.4164,Green Valley
285,Santo Tomas,PH,84.58,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
290,Faya,SA,86.52,clear sky,18.3851,42.4509,مقبرة ال مجمل
292,Astara,AZ,78.78,clear sky,38.5,48.6667,
294,Pointe Michel,DM,88.74,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
295,Marivan,IR,85.1,clear sky,35.5219,46.176,Miran Hotel
299,Wanning,CN,83.86,overcast clouds,18.8003,110.3967,Paradise Hotel
303,Harper,LR,80.19,light rain,4.375,-7.7169,Screensaver
309,Caravelas,BR,80.53,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
313,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
324,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
329,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
331,Sanguem,IN,83.68,broken clouds,15.2333,74.1667,Hotel
333,Galveston,US,82.09,scattered clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
337,Ypsonas,CY,79.56,few clouds,34.6884,32.9574,Club Aphrodite
341,Oskemen,KZ,76.96,broken clouds,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
346,Palatka,US,81.05,clear sky,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
349,Basco,PH,84.38,broken clouds,20.4487,121.9702,Nathaniel's Lodge
351,Amapa,BR,80.46,few clouds,1.0,-52.0,
352,Salalah,OM,86.09,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
355,Thinadhoo,MV,84.36,overcast clouds,0.5333,72.9333,
361,Fereydun Kenar,IR,80.91,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
365,Sinnamary,GF,76.01,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
372,Gigmoto,PH,82.02,broken clouds,13.7796,124.39,Cj's Travellers Inn
373,Cabo San Lucas,MX,79.81,broken clouds,22.8909,-109.9124,Tesoro Los Cabos
374,Kerema,PG,78.04,overcast clouds,-7.9631,145.7785,Frena Lodge
376,Kabo,CF,82.74,light rain,7.6994,18.629,
377,Nola,IT,77.02,broken clouds,40.922,14.5329,Pamaran Hotel
378,San Ignacio,BZ,80.74,clear sky,17.1561,-89.0714,Rainforest Haven Inn
382,Mogadishu,SO,84.07,light rain,2.0371,45.3438,Hotel Juba
384,Pafos,CY,80.24,few clouds,34.7667,32.4167,Elysium Hotel
387,Lorengau,PG,79.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
391,Medeiros Neto,BR,84.58,broken clouds,-17.3739,-40.2206,Medeiros Palace Hotel
396,Aleksandrov Gay,RU,77.38,overcast clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
397,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
402,Ambulu,ID,75.87,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
409,Panaba,MX,82.44,clear sky,21.2833,-88.2667,Posada rosario
410,Eyl,SO,83.57,overcast clouds,7.9803,49.8164,Amiin Hotel
413,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
414,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
415,Hithadhoo,MV,84.18,broken clouds,-0.6,73.0833,Scoop Guest House
416,Salinopolis,BR,82.89,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
417,Nieuw Amsterdam,SR,80.76,moderate rain,5.8833,-55.0833,Globe Hotel
