City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
506,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,82.35,44,59,3.4,broken clouds
507,Varhaug,NO,58.6147,5.6457,66.85,68,7,14.74,light rain
508,Nadym,RU,65.5333,72.5167,49.89,36,81,11.83,broken clouds
509,Zmeinogorsk,RU,51.1567,82.195,58.28,87,71,6.4,broken clouds
510,Xichang,CN,27.8964,102.2634,70.41,80,78,3.13,broken clouds
511,Teya,RU,60.3778,92.6267,52.29,61,100,5.12,overcast clouds
512,Dalvik,IS,65.9702,-18.5286,52.77,48,86,11.68,overcast clouds
513,Raudeberg,NO,61.9875,5.1352,69.4,88,63,8.72,broken clouds
514,Isangel,VU,-19.55,169.2667,70.59,68,72,10.74,broken clouds
515,Aykhal,RU,66.0,111.5,53.38,43,64,12.95,broken clouds
516,Ouesso,CG,1.6136,16.0517,79.81,76,100,3.42,light rain
517,Bathsheba,BB,13.2167,-59.5167,82.9,70,58,19.89,broken clouds
518,Pitimbu,BR,-7.4706,-34.8086,77.59,78,41,13.0,scattered clouds
519,Safford,US,32.834,-109.7076,83.32,21,1,13.8,clear sky
520,Goundi,TD,9.3627,17.366,96.24,28,98,3.02,overcast clouds
521,Coahuayana,MX,18.7333,-103.6833,89.24,39,77,1.95,broken clouds
522,Narsaq,GL,60.9167,-46.05,46.24,57,82,7.0,broken clouds
523,Mattru,SL,7.6244,-11.8332,72.73,97,100,3.67,moderate rain
524,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,83.52,42,89,2.73,overcast clouds
525,Turochak,RU,52.2576,87.1224,55.54,75,9,2.64,clear sky
526,Zhangye,CN,38.9342,100.4517,67.91,16,42,6.82,scattered clouds
527,Portsmouth,GB,50.799,-1.0913,76.66,72,0,11.7,clear sky
528,Half Moon Bay,US,37.4636,-122.4286,70.0,79,1,3.0,mist
529,Hay River,CA,60.8156,-115.7999,49.35,59,56,5.23,broken clouds
530,Eibergen,NL,52.1,6.6486,74.95,46,0,11.88,clear sky
